company,title,date,status,link,source
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目（第1、第6标段第二次招标公告）,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260311/5e07953a-bade-491f-8a25-45a4492b2d94.html,enterprise_purchase
陆港集团,义乌市陆港铁路口岸发展有限公司铁路口岸一期海关新增智能卡口通道设备（货一线杭向卡口）维保服务采购项目中标公告,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260311/d383125c-39b0-475d-8228-5532f5c0f734.html,enterprise_purchase
资环集团,义乌市资源循环集团监控网络与平台支撑服务采购项目中标(成交)结果公告,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260311/b7c0a3fa-b208-48d0-a4df-d6bfdfe89ed4.html,enterprise_purchase
交旅集团,8号星球综合体项目乐园业态运营采购项目（第二次）中标结果公告,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260311/76e850a6-932a-4a60-98f3-68f05e91eab5.html,enterprise_purchase
陆港集团,义乌市陆港信息技术有限公司跨境电商监管平台运维服务采购项目中标公告,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260311/2cce281a-bf35-4aaf-84cf-858fb8acd337.html,enterprise_purchase
市场集团,义乌市模具产业发展有限公司2026年度广告视频制作服务（含物料）采购项目单一来源采购中标公示,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260311/b5f8b5c2-6ba7-4b01-b7e4-7d87328a54ed.html,enterprise_purchase
交旅集团,义乌市公路建设开发有限公司2026--2027年钢材供应商入库项目（第三次）采购公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260310/286b6f18-bec2-418a-b2c5-baad6562bb1e.html,enterprise_purchase
商城集团,浙江中国小商品城集团股份有限公司市场运营分公司2026年浙江工业大学义乌周“打开义乌 遇见世界商品”主题展区活动 采购项目单一来源采购公示,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/4ce8e6a6-abab-450b-bc0b-8514bcfbbf4b.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司2026年新能源环卫车辆采购项目招标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260310/091aad4e-a3db-4769-8fcd-5524e3ebaf85.html,enterprise_purchase
水务集团,义乌市排水有限公司2026-2027年度车辆保险采购项目招标公告（第一次重新招标）,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/96892be0-e2c2-4f4e-920a-3b8f543324fa.html,enterprise_purchase
双江湖集团,义乌市双江湖小城市开发建设有限公司新社区集聚江东街道毛店二期地块一、地块二项目房源交付服务采购项目单一来源采购公示,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/19bc9355-a9ca-4ae7-a941-3e4424a038a4.html,enterprise_purchase
城投集团,义乌大剧院项目管风琴采购项目,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260310/4f804060-48f0-460f-9b5e-1c6d5a9caf44.html,enterprise_purchase
市场集团,五亭名邸全案营销策划服务采购项目招标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/87bcbde1-b9ff-4881-83ca-9124676dac51.html,enterprise_purchase
市场集团,五亭名邸物料制作服务采购项目招标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/a6e2c0cc-4e4b-446f-9984-6dcf0b293682.html,enterprise_purchase
市场集团,柳青名邸全案营销策划服务采购项目招标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/3b2645c1-f6b1-4dec-b0df-460f7bc55e4b.html,enterprise_purchase
市场集团,柳青名邸物料制作服务采购项目招标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260310/88ccea62-cfd8-40ca-a74b-ae6eb926fffc.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目(第4标段)中标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260310/72afce8c-c527-467f-b5ba-fd62404e47e0.html,enterprise_purchase
水务集团,义乌市第二自来水有限公司生活饮用水处理添加剂氢氧化钙采购项目中标(成交)结果公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260310/0764cf55-c8a3-4d65-b928-818a2934a039.html,enterprise_purchase
交旅集团,义乌市新远公路养护工程有限公司2026年除虫除草药 采购项目（第二次）中标结果公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260310/e5f0898e-67b6-47e0-94ec-acd6bc275f40.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目第5标段中标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260310/8dbbf154-f011-4bce-b340-5fc745434e8d.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目(第1标段)废标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001006/20260310/6bdadd97-c24f-461e-b764-77b6afb49933.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目(第3标段)中标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260310/3eaa1e71-a5f0-4f70-a505-e4d08f6007b9.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目(第2标段)中标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260310/4f312b62-dd30-4444-9ce6-708538bf3431.html,enterprise_purchase
陆港集团,义乌市国际陆港集团辖区2026年市政道路、绿化、管道、保洁及管廊等养护服务采购项目中标(成交)结果公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260311/cc485337-9c1e-4f9f-8cb8-531d928bbfd6.html,enterprise_purchase
